|Node|Directory Number|Registration Status|Subscriber Type|Supplementary Service Set
|1000|02-6240713|Not registered|Public|BLOQUEO LD
|1000|02-6240714|Registered from 10.50.10.22|Public|BLOQUEO LD
|1000|02-6240715|Not registered|Public|BLOQUEO LD
|1000|02-6240716|Not registered|Public|BLOQUEO LD
|1000|02-6240717|Not registered|Public|BLOQUEO LD
|1000|02-6240718|Not registered|Public|BLOQUEO LD
|1000|02-6240719|Not registered|Public|BLOQUEO LD
|1000|02-6240720|Registered from 10.50.10.59|Public|BLOQUEO LD
|1000|02-6240723|Registered from 10.50.15.206|Public|BLOQUEO LD
|1000|02-6240724|Registered from 10.50.15.95|Public|BLOQUEO LD
|1000|02-6240726|Registered from 10.50.10.132|Public|BLOQUEO LD
|1000|02-6240727|Not registered|Public|BLOQUEO LD
|1000|02-6240730|Registered from 10.50.13.124|Public|BLOQUEO LD
|1000|02-6240732|Registered from 10.50.12.211|Public|BLOQUEO LD
|1000|02-6240735|Registered from 10.50.14.40|Public|BLOQUEO LD
|1000|02-6240738|Not registered|Public|BLOQUEO LD
|1000|02-6240739|Registered from 10.50.15.154|Public|BLOQUEO LD
|1000|02-6240740|Registered from 10.50.11.184|Public|BLOQUEO LD
|1000|02-6240741|Registered from 10.50.13.72|Public|BLOQUEO LD
|1000|02-6240742|Registered from 10.50.10.58|Public|BLOQUEO LD
|1000|02-6240744|Registered from 10.50.15.181|Public|BLOQUEO LD
|1000|02-6240746|Registered from 10.50.15.130|Public|BLOQUEO LD
|1000|02-6240748|Not registered|Public|BLOQUEO LD
|1000|02-6240750|Not registered|Public|BLOQUEO LD
|1000|02-6240752|Registered from 10.50.11.87|Public|BLOQUEO LD
|1000|02-6240754|Not registered|Public|BLOQUEO LD
|1000|02-6240755|Registered from 10.50.10.36|Public|BLOQUEO LD
|1000|02-6240756|Registered from 10.50.10.23|Public|BLOQUEO LD
|1000|02-6240757|Not registered|Public|BLOQUEO LD
|1000|02-6240758|Registered from 10.50.14.114|Public|BLOQUEO LD
|1000|02-6240761|Registered from 10.50.10.178|Public|BLOQUEO LD
|1000|02-6240762|Registered from 10.50.10.125|Public|BLOQUEO LD
|1000|02-6240765|Registered from 10.50.14.187|Public|BLOQUEO LD
|1000|02-6240767|Not registered|Public|BLOQUEO LD
|1000|02-6240770|Registered from 10.50.14.178|Public|BLOQUEO LD
|1000|02-6240773|Registered from 10.50.12.157|Public|BLOQUEO LD
|1000|02-6240774|Registered from 10.50.11.147|Public|BLOQUEO LD
|1000|02-6240775|Not registered|Public|BLOQUEO LD
|1000|02-6240776|Registered from 10.50.14.242|Public|BLOQUEO LD
|1000|02-6240777|Not registered|Public|BLOQUEO LD
|1000|02-6240780|Not registered|Public|BLOQUEO LD
|1000|02-6240781|Registered from 10.50.13.244|Public|BLOQUEO LD
|1000|02-6240783|Registered from 10.50.12.39|Public|BLOQUEO LD
|1000|02-6240785|Registered from 10.50.11.93|Public|BLOQUEO LD
|1000|02-6240790|Registered from 10.50.14.214|Public|BLOQUEO LD
|1000|02-6240792|Registered from 10.50.10.10|Public|BLOQUEO LD
|1000|02-6240793|Registered from 10.50.14.230|Public|BLOQUEO LD
|1000|02-6240795|Registered from 10.50.12.170|Public|BLOQUEO LD
|1000|02-6240797|Registered from 10.50.12.125|Public|BLOQUEO LD
|1000|02-6240798|Not registered|Public|BLOQUEO LD
|1000|02-6240799|Registered from 10.50.15.107|Public|BLOQUEO LD
|1000|02-6240801|Registered from 10.50.11.160|Public|BLOQUEO LD
|1000|02-6240804|Not registered|Public|BLOQUEO LD
|1000|02-6240805|Registered from 10.50.11.156|Public|BLOQUEO LD
|1000|02-6240807|Registered from 10.50.15.85|Public|Abonado Comun
|1000|02-6240810|Registered from 10.50.14.73|Public|BLOQUEO LD
|1000|02-6240814|Registered from 10.50.15.78|Public|BLOQUEO LD
|1000|02-6240816|Registered from 10.50.12.226|Public|BLOQUEO LD
|1000|02-6240818|Registered from 10.50.14.47|Public|BLOQUEO LD
|1000|02-6240823|Registered from 10.50.14.175|Public|BLOQUEO LD
|1000|02-6240824|Registered from 10.50.14.91|Public|BLOQUEO LD
|1000|02-6240826|Registered from 10.50.14.109|Public|BLOQUEO LD
|1000|02-6240827|Registered from 10.50.15.131|Public|BLOQUEO LD
|1000|02-6240830|Registered from 10.50.10.128|Public|BLOQUEO LD
|1000|02-6240831|Registered from 10.50.13.121|Public|BLOQUEO LD
|1000|02-6240833|Registered from 10.50.14.196|Public|BLOQUEO LD
|1000|02-6240834|Registered from 10.50.13.232|Public|BLOQUEO LD
|1000|02-6240836|Registered from 10.50.10.102|Public|BLOQUEO LD
|1000|02-6240837|Not registered|Public|BLOQUEO LD
|1000|02-6240838|Not registered|Public|BLOQUEO LD
|1000|02-6240839|Not registered|Public|BLOQUEO LD
|1000|02-6240840|Registered from 10.50.14.49|Public|BLOQUEO LD
|1000|02-6240842|Not registered|Public|BLOQUEO LD
|1000|02-6240843|Registered from 10.50.11.13|Public|BLOQUEO LD
|1000|02-6240844|Registered from 10.50.11.166|Public|BLOQUEO LD
|1000|02-6240845|Registered from 10.50.10.15|Public|BLOQUEO LD
|1000|02-6240846|Registered from 10.50.15.207|Public|BLOQUEO LD
|1000|02-6240848|Registered from 10.50.11.83|Public|BLOQUEO LD
|1000|02-6240849|Registered from 10.50.13.75|Public|BLOQUEO LD
|1000|02-6240853|Registered from 10.50.14.130|Public|BLOQUEO LD
|1000|02-6240855|Registered from 10.50.10.103|Public|BLOQUEO LD
|1000|02-6240856|Registered from 10.50.15.60|Public|BLOQUEO LD
|1000|02-6240859|Registered from 10.50.15.238|Public|BLOQUEO LD
|1000|02-6240860|Registered from 10.50.11.118|Public|BLOQUEO LD
|1000|02-6240861|Registered from 10.50.14.19|Public|BLOQUEO LD
|1000|02-6240862|Not registered|Public|BLOQUEO LD
|1000|02-6240869|Registered from 10.50.10.74|Public|BLOQUEO LD
|1000|02-6240870|Registered from 10.50.10.161|Public|BLOQUEO LD
|1000|02-6240871|Registered from 10.50.13.233|Public|BLOQUEO LD
|1000|02-6240872|Registered from 10.50.13.250|Public|BLOQUEO LD
|1000|02-6240873|Registered from 10.50.14.194|Public|BLOQUEO LD
|1000|02-6240875|Registered from 10.50.14.156|Public|BLOQUEO LD
|1000|02-6240877|Registered from 10.50.11.63|Public|BLOQUEO LD
|1000|02-6240878|Not registered|Public|BLOQUEO LD
|1000|02-6240881|Registered from 10.50.11.97|Public|BLOQUEO LD
|1000|02-6240882|Registered from 10.50.12.185|Public|BLOQUEO LD
|1000|02-6240884|Registered from 10.50.14.118|Public|BLOQUEO LD
|1000|02-6240886|Registered from 10.50.11.40|Public|BLOQUEO LD
|1000|02-6240887|Registered from 10.50.13.74|Public|BLOQUEO LD
|1000|02-6240889|Registered from 10.50.14.140|Public|BLOQUEO LD
|1000|02-6240893|Registered from 10.50.13.173|Public|BLOQUEO LD
|1000|02-6240894|Registered from 10.50.13.212|Public|BLOQUEO LD
|1000|02-6240895|Registered from 10.50.14.35|Public|BLOQUEO LD
|1000|02-6240898|Registered from 10.50.10.110|Public|BLOQUEO LD
|1000|02-6240899|Registered from 10.50.12.91|Public|BLOQUEO LD
|1000|02-6240900|Registered from 10.50.12.251|Public|BLOQUEO LD
|1000|02-6240905|Registered from 10.50.15.81|Public|BLOQUEO LD
|1000|02-6240907|Not registered|Public|BLOQUEO LD
|1000|02-6240914|Not registered|Public|BLOQUEO LD
|1000|02-6240915|Not registered|Public|BLOQUEO LD
|1000|02-6240916|Registered from 10.50.12.173|Public|BLOQUEO LD
|1000|02-6240919|Not registered|Public|BLOQUEO LD
|1000|02-6240920|Registered from 10.50.14.9|Public|BLOQUEO LD
|1000|02-6240927|Registered from 10.50.10.12|Public|BLOQUEO LD
|1000|02-6240933|Registered from 10.50.10.235|Public|BLOQUEO LD
|1000|02-6240935|Not registered|Public|BLOQUEO LD
|1000|02-6240936|Not registered|Public|BLOQUEO LD
|1000|02-6240940|Registered from 10.50.12.40|Public|BLOQUEO LD
|1000|02-6240944|Registered from 10.50.15.97|Public|BLOQUEO LD
|1000|02-6240954|Registered from 10.50.14.232|Public|BLOQUEO LD
|1000|02-6240960|Registered from 10.50.10.140|Public|BLOQUEO LD
|1000|02-6240961|Registered from 10.50.12.176|Public|BLOQUEO LD
|1000|02-6240965|Registered from 10.50.14.207|Public|BLOQUEO LD
|1000|02-6240966|Registered from 10.50.11.212|Public|BLOQUEO LD
|1000|02-6240967|Not registered|Public|BLOQUEO LD
|1000|02-6240969|Registered from 10.50.13.57|Public|BLOQUEO LD
|1000|02-6240970|Not registered|Public|BLOQUEO LD
|1000|02-6240973|Registered from 10.50.15.128|Public|BLOQUEO LD
|1000|02-6240974|Registered from 10.50.14.152|Public|BLOQUEO LD
|1000|02-6240983|Registered from 10.50.12.234|Public|BLOQUEO LD
|1000|02-6240985|Registered from 10.50.14.8|Public|BLOQUEO LD
|1000|02-6240991|Registered from 10.50.11.154|Public|BLOQUEO LD
|1000|02-6240992|Registered from 10.50.14.100|Public|BLOQUEO LD
|1000|02-6240998|Registered from 10.50.11.88|Public|BLOQUEO LD
|1000|02-6241008|Registered from 10.50.10.44|Public|BLOQUEO LD
|1000|02-6241009|Registered from 10.50.10.24|Public|BLOQUEO LD
|1000|02-6241026|Registered from 10.50.15.44|Public|BLOQUEO LD
|1000|02-6241040|Registered from 10.50.11.198|Public|BLOQUEO LD
|1000|02-6241076|Registered from 10.50.13.25|Public|BLOQUEO LD
|1000|02-6241083|Registered from 10.50.11.81|Public|BLOQUEO LD
|1000|02-6241085|Registered from 10.50.15.137|Public|BLOQUEO LD
|1000|02-6241086|Registered from 10.50.10.139|Public|BLOQUEO LD
|1000|02-6241087|Registered from 10.50.13.231|Public|BLOQUEO LD
|1000|02-6241088|Registered from 10.50.14.154|Public|BLOQUEO LD
|1000|02-6241089|Registered from 10.50.13.67|Public|BLOQUEO LD
|1000|02-6241090|Registered from 10.50.13.83|Public|BLOQUEO LD
|1000|02-6241091|Registered from 10.50.11.121|Public|BLOQUEO LD
|1000|02-6241092|Not registered|Public|BLOQUEO LD
|1000|02-6241093|Registered from 10.50.13.118|Public|BLOQUEO LD
|1000|02-6241094|Registered from 10.50.15.106|Public|BLOQUEO LD
|1000|02-6241112|Not registered|Public|BLOQUEO LD
|1000|02-6241115|Registered from 10.50.14.61|Public|BLOQUEO LD
|1000|02-6241116|Registered from 10.50.13.161|Public|BLOQUEO LD
|1000|02-6241119|Registered from 10.50.10.173|Public|BLOQUEO LD
|1000|02-6241120|Registered from 10.50.10.192|Public|BLOQUEO LD
|1000|02-6241134|Registered from 10.50.10.13|Public|BLOQUEO LD
|1000|02-6241137|Registered from 10.50.14.167|Public|BLOQUEO LD
|1000|02-6241145|Not registered|Public|BLOQUEO LD
|1000|02-6241146|Registered from 10.50.10.3|Public|BLOQUEO LD
|1000|02-6241157|Registered from 10.50.13.8|Public|BLOQUEO LD
|1000|02-6241159|Not registered|Public|BLOQUEO LD
|1000|02-6241160|Registered from 10.50.14.41|Public|BLOQUEO LD
|1000|02-6241161|Registered from 10.50.10.167|Public|BLOQUEO LD
|1000|02-6241166|Registered from 10.50.15.24|Public|BLOQUEO LD
|1000|02-6241171|Registered from 10.50.10.123|Public|BLOQUEO LD
|1000|02-6241175|Registered from 10.50.14.147|Public|BLOQUEO LD
|1000|02-6241177|Registered from 10.50.13.94|Public|BLOQUEO LD
|1000|02-6241178|Registered from 10.50.15.0|Public|BLOQUEO LD
|1000|02-6241186|Registered from 10.50.14.158|Public|BLOQUEO LD
|1000|02-6241187|Registered from 10.50.10.172|Public|BLOQUEO LD
|1000|02-6241188|Not registered|Public|BLOQUEO LD
|1000|02-6241191|Registered from 10.50.10.241|Public|BLOQUEO LD
|1000|02-6241194|Registered from 10.50.13.19|Public|BLOQUEO LD
|1000|02-6241195|Registered from 10.50.12.136|Public|BLOQUEO LD
|1000|02-6241197|Not registered|Public|BLOQUEO LD
|1000|02-6241198|Registered from 10.50.14.119|Public|BLOQUEO LD
|1000|02-6241200|Registered from 10.50.10.226|Public|BLOQUEO LD
|1000|02-6241201|Registered from 10.50.13.230|Public|BLOQUEO LD
|1000|02-6241205|Registered from 10.50.10.21|Public|BLOQUEO LD
|1000|02-6241207|Registered from 10.50.15.241|Public|BLOQUEO LD
|1000|02-6241208|Registered from 10.50.10.136|Public|BLOQUEO LD
|1000|02-6241210|Registered from 10.50.14.231|Public|BLOQUEO LD
|1000|02-6241215|Registered from 10.50.15.250|Public|BLOQUEO LD
|1000|02-6241218|Registered from 10.50.10.202|Public|BLOQUEO LD
|1000|02-6241224|Registered from 10.50.10.160|Public|BLOQUEO LD
|1000|02-6241226|Registered from 10.50.12.252|Public|BLOQUEO LD
|1000|02-6241231|Registered from 10.50.10.65|Public|BLOQUEO LD
|1000|02-6241236|Not registered|Public|BLOQUEO LD
|1000|02-6241240|Registered from 10.50.12.86|Public|BLOQUEO LD
|1000|02-6241241|Registered from 10.50.10.1|Public|BLOQUEO LD
|1000|02-6241244|Not registered|Public|BLOQUEO LD
|1000|02-6241245|Registered from 10.50.10.238|Public|BLOQUEO LD
|1000|02-6241246|Registered from 10.50.13.129|Public|BLOQUEO LD
|1000|02-6241252|Registered from 10.50.12.82|Public|BLOQUEO LD
|1000|02-6241257|Registered from 10.50.10.206|Public|BLOQUEO LD
|1000|02-6241260|Registered from 10.50.10.61|Public|BLOQUEO LD
|1000|02-6241265|Registered from 10.50.10.159|Public|BLOQUEO LD
|1000|02-6241270|Registered from 10.50.14.155|Public|BLOQUEO LD
|1000|02-6241275|Registered from 10.50.10.69|Public|BLOQUEO LD
|1000|02-6241276|Not registered|Public|BLOQUEO LD
|1000|02-6241277|Registered from 10.50.10.156|Public|BLOQUEO LD
|1000|02-6241282|Not registered|Public|BLOQUEO LD
|1000|02-6241299|Registered from 10.50.12.183|Public|BLOQUEO LD
|1000|02-6241352|Not registered|Public|BLOQUEO LD
|1000|02-6241353|Not registered|Public|BLOQUEO LD
|1000|02-6242009|Registered from 10.50.13.144|Public|Custom
|1000|02-6242027|Registered from 10.50.13.51|Public|Abonado Comun
|1000|02-6242049|Registered from 10.50.15.10|Public|BLOQUEO LD
|1000|02-6242050|Not registered|Public|Abonado Comun
|1000|02-6242061|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6242062|Not registered|Public|BLOQUEO LD
|1000|02-6242063|Registered from 10.50.14.65|Public|BLOQUEO LD
|1000|02-6242141|Registered from 10.50.13.31|Public|Abonado Comun
|1000|02-6242177|Registered from 10.50.14.17|Public|BLOQUEO LD
|1000|02-6242192|Registered from 10.50.15.210|Public|BLOQUEO LD
|1000|02-6242250|Registered from 10.50.15.198|Public|Abonado Comun
|1000|02-6242282|Not registered|Public|Abonado Comun
|1000|02-6242300|Registered from 10.50.11.54|Public|BLOQUEO LD
|1000|02-6242330|Not registered|Public/Suspended|BLOQUEO TOTAL
|1000|02-6242352|Registered from 10.50.15.186|Public|Abonado Comun
|1000|02-6242385|Not registered|Public|Abonado Comun
|1000|02-6242456|Registered from 10.50.12.133|Public|BLOQUEO LD
|1000|02-6242462|Registered from 10.50.12.202|Public|BLOQUEO LD
|1000|02-6242521|Registered from 10.50.15.171|Public|BLOQUEO LD
|1000|02-6242550|Registered from 10.50.15.216|Public|BLOQUEO LD
|1000|02-6242571|Registered from 10.50.14.56|Public|Abonado Comun
|1000|02-6242600|Not registered|Public|Abonado Comun
|1000|02-6242671|Registered from 10.50.12.191|Public|Abonado Comun
|1000|02-6242672|Registered from 10.50.11.27|Public|Abonado Comun
|1000|02-6242730|Registered from 10.50.11.35|Public|BLOQUEO LD
|1000|02-6242734|Registered from 10.50.14.217|Public|Abonado Comun
|1000|02-6242743|Registered from 10.50.14.115|Public|BLOQUEO LD
|1000|02-6242807|Registered from 10.50.12.245|Public|BLOQUEO LD
|1000|02-6242897|Not registered|Public|Abonado Comun
|1000|02-6242902|Registered from 10.50.15.170|Public|BLOQUEO LD
|1000|02-6242904|Registered from 10.50.15.103|Public|BLOQUEO LD
|1000|02-6242971|Registered from 10.50.15.129|Public|Abonado Comun
|1000|02-6243000|Not registered (on 'MAD 6223943')|Public|Abonado Comun
|1000|02-6243032|Not registered|Public|BLOQUEO LD
|1000|02-6243061|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6243090|Not registered|Public|BLOQUEO LD
|1000|02-6243092|Registered from 10.50.10.130|Public|Abonado Comun
|1000|02-6243131|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6243206|Not registered|Public|BLOQUEO LD
|1000|02-6243312|Registered from 10.50.13.141|Public|Abonado Comun
|1000|02-6243330|Registered from 10.50.11.151|Public|BLOQUEO LD
|1000|02-6243339|Registered from 10.50.13.149|Public|Abonado Comun
|1000|02-6243452|Not registered|Public|BLOQUEO LD
|1000|02-6243455|Registered from 10.50.10.141|Public|BLOQUEO LD
|1000|02-6243675|Registered from 10.50.15.108|Public|BLOQUEO LD
|1000|02-6243718|Not registered|Public|BLOQUEO LD
|1000|02-6243773|Registered from 10.50.14.110|Public|Abonado Comun
|1000|02-6243780|Registered from 10.50.14.104|Public|BLOQUEO LD
|1000|02-6243870|Registered from 10.50.14.176|Public|Abonado Comun
|1000|02-6243893|Registered from MAD 6244516|Public|Abonado Comun
|1000|02-6243944|Registered from 10.50.15.62|Public|Abonado Comun
|1000|02-6244001|Registered from 10.50.14.45|Public|Abonado Comun
|1000|02-6244093|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6244096|Registered from 10.50.14.146|Public|Abonado Comun
|1000|02-6244104|Registered from 10.50.13.130|Public|Abonado Comun
|1000|02-6244133|Registered from 10.50.14.70|Public|BLOQUEO LD
|1000|02-6244219|Registered from 10.50.13.65|Public|Abonado Comun
|1000|02-6244220|Registered from 10.50.13.134|Public|BLOQUEO LD
|1000|02-6244228|Registered from 10.50.13.107|Public|BLOQUEO LD
|1000|02-6244257|Registered from 10.50.13.224|Public|Abonado Comun
|1000|02-6244448|Registered from 10.50.11.37|Public|BLOQUEO LD
|1000|02-6244464|Not registered|Public|BLOQUEO LD
|1000|02-6244471|Registered from 10.50.15.104|Public|BLOQUEO LD
|1000|02-6244513|Registered from MAD 6244513|Public|Abonado Comun
|1000|02-6244516|Registered from MAD 6244516|Public|Abonado Comun
|1000|02-6244522|Registered from MAD 6244513|Public|Abonado Comun
|1000|02-6244531|Registered from 10.50.10.177|Public|Abonado Comun
|1000|02-6244646|Registered from 10.50.15.249|Public|Abonado Comun
|1000|02-6244743|Registered from 10.50.15.200|Public|Abonado Comun
|1000|02-6244798|Registered from 10.50.13.183|Public|BLOQUEO LD
|1000|02-6244820|Registered from 10.50.15.159|Public|Abonado Comun
|1000|02-6244826|Registered from 10.50.15.146|Public|Abonado Comun
|1000|02-6244934|Not registered|Public|BLOQUEO LD
|1000|02-6244935|Registered from 10.50.11.196|Public|BLOQUEO LD
|1000|02-6245015|Registered from 10.50.10.201|Public|BLOQUEO LD
|1000|02-6245018|Registered from 10.50.14.193|Public/Suspended|BLOQUEO TOTAL
|1000|02-6245108|Registered from 10.50.14.180|Public|BLOQUEO LD
|1000|02-6245111|Registered from 10.50.10.203|Public|BLOQUEO LD
|1000|02-6245320|Registered from 10.50.13.216|Public|Abonado Comun
|1000|02-6245368|Registered from 10.50.13.142|Public|Abonado Comun
|1000|02-6245383|Registered from 10.50.12.67|Public|BLOQUEO LD
|1000|02-6245390|Not registered|Public|BLOQUEO LD
|1000|02-6245444|Registered from 10.50.14.13|Public|Abonado Comun
|1000|02-6245591|Registered from 10.50.13.46|Public|Abonado Comun
|1000|02-6245602|Registered from 10.50.15.203|Public|Abonado Comun
|1000|02-6245621|Registered from 10.50.15.80|Public|BLOQUEO LD
|1000|02-6245637|Registered from 10.50.14.55|Public|BLOQUEO LD
|1000|02-6245819|Registered from 10.50.15.217|Public|Abonado Comun
|1000|02-6245822|Registered from 10.50.11.211|Public|BLOQUEO LD
|1000|02-6246069|Not registered|Public|Abonado Comun
|1000|02-6246161|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6246180|Registered from 10.50.11.24|Public|BLOQUEO LD
|1000|02-6246207|Registered from 10.50.15.64|Public|Abonado Comun
|1000|02-6246237|Registered from 10.50.13.219|Public|Abonado Comun
|1000|02-6246333|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6246355|Registered from 10.50.14.209|Public|Abonado Comun
|1000|02-6246372|Registered from 10.50.11.17|Public|Abonado Comun
|1000|02-6246461|Registered from 10.50.13.5|Public|BLOQUEO LD
|1000|02-6246472|Registered from 10.50.12.148|Public|Abonado Comun
|1000|02-6246503|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6246779|Not registered|Public|Abonado Comun
|1000|02-6246799|Registered from 10.50.12.126|Public|Abonado Comun
|1000|02-6246898|Registered from 10.50.14.63|Public|Abonado Comun
|1000|02-6246984|Registered from 10.50.15.117|Public|Abonado Comun
|1000|02-6247023|Not registered|Public|BLOQUEO LD
|1000|02-6247030|Not registered|Public|Abonado Comun
|1000|02-6247093|Registered from 10.50.11.58|Public|Abonado Comun
|1000|02-6247120|Registered from 10.50.15.50|Public|BLOQUEO LD
|1000|02-6247122|Not registered|Public|BLOQUEO LD
|1000|02-6247154|Registered from 10.50.10.54|Public|BLOQUEO LD
|1000|02-6247262|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6247319|Registered from 10.50.10.147|Public|BLOQUEO LD
|1000|02-6248041|Not registered|Public|BLOQUEO LD
|1000|02-6248070|Registered from 10.50.13.139|Public|BLOQUEO LD
|1000|02-6248085|Not registered|Public|BLOQUEO LD
|1000|02-6249004|Registered from 10.50.14.50|Public|BLOQUEO LD
|1000|02-6249005|Registered from 10.50.14.21|Public|Abonado Comun
|1000|02-6249007|Not registered|Public|BLOQUEO LD
|1000|02-6249011|Not registered|Public/Suspended|BLOQUEO TOTAL
|1000|02-6249012|Registered from 10.50.15.76|Public|BLOQUEO LD
|1000|02-6249015|Registered from 10.50.11.172|Public|Abonado Comun
|1000|02-6249017|Registered from 10.50.11.138|Public|Abonado Comun
|1000|02-6249021|Not registered|Public|BLOQUEO LD
|1000|02-6249024|Registered from 10.50.10.220|Public|BLOQUEO LD
|1000|02-6249026|Registered from 10.50.15.91|Public|Abonado Comun
|1000|02-6249027|Registered from 10.50.13.196|Public|Abonado Comun
|1000|02-6249029|Registered from 10.50.11.122|Public|Abonado Comun
|1000|02-6249030|Registered from 10.50.12.29|Public|BLOQUEO LD
|1000|02-6249032|Registered from 10.50.11.134|Public|BLOQUEO LD
|1000|02-6249037|Registered from 10.50.12.241|Public|Abonado Comun
|1000|02-6249041|Registered from 10.50.15.23|Public|Abonado Comun
|1000|02-6249044|Registered from 10.50.13.169|Public|BLOQUEO LD
|1000|02-6249045|Not registered|Public|BLOQUEO LD
|1000|02-6249047|Not registered|Public|BLOQUEO LD
|1000|02-6249049|Registered from 10.50.12.215|Public|Abonado Comun
|1000|02-6249057|Registered from 10.50.11.164|Public|BLOQUEO LD
|1000|02-6249061|Not registered|Public|BLOQUEO LD
|1000|02-6249063|Registered from 10.50.13.222|Public|BLOQUEO LD
|1000|02-6249064|Registered from 10.50.12.18|Public|BLOQUEO LD
|1000|02-6249065|Registered from 10.50.14.48|Public|Abonado Comun
|1000|02-6249068|Registered from 10.50.11.103|Public|Abonado Comun
|1000|02-6249076|Registered from 10.50.11.114|Public|BLOQUEO LD
|1000|02-6249079|Registered from 10.50.13.70|Public|BLOQUEO LD
|1000|02-6249081|Not registered|Public|BLOQUEO LD
|1000|02-6249083|Registered from 10.50.11.125|Public|BLOQUEO LD
|1000|02-6249088|Not registered|Public|BLOQUEO LD
|1000|02-6249089|Registered from 10.50.11.162|Public|Abonado Comun
|1000|02-6249092|Registered from 10.50.11.67|Public|Abonado Comun
|1000|02-6249093|Registered from 10.50.12.116|Public|BLOQUEO LD
|1000|02-6249094|Registered from 10.50.12.60|Public|Abonado Comun
|1000|02-6249095|Not registered|Public|BLOQUEO LD
|1000|02-6249097|Registered from 10.50.14.85|Public|Abonado Comun
|1000|02-6249098|Registered from 10.50.11.161|Public|BLOQUEO LD
|1000|02-6249099|Registered from 10.50.10.41|Public|Abonado Comun
|1000|02-6249100|Registered from 10.50.15.192|Public|BLOQUEO LD
|1000|02-6249102|Registered from 10.50.11.15|Public|BLOQUEO LD
|1000|02-6249105|Registered from 10.50.13.185|Public|BLOQUEO LD
|1000|02-6249110|Registered from 10.50.11.102|Public|Abonado Comun
|1000|02-6249112|Registered from 10.50.13.201|Public|Abonado Comun
|1000|02-6249115|Registered from 10.50.11.92|Public|BLOQUEO LD
|1000|02-6249505|Not registered|Public|Abonado Comun
|1000|02-6249761|Registered from 10.50.13.60|Public|Abonado Comun
|1000|02-6250000|Not registered (on 'UC-MAD')|Centrex|Abonado Comun
|1000|02-6250001|Not registered (on 'UC-MAD')|Centrex|Abonado Comun
|1000|02-6250002|Not registered (on 'UC-MAD')|Centrex|Abonado Comun
|1000|02-6250003|Not registered (on 'UC-MAD')|Centrex|Abonado Comun
|1000|02-6250004|Not registered (on 'UC-MAD')|Centrex|Abonado Comun
|1000|02-6250005|Not registered (on 'UC-MAD')|Centrex|Abonado Comun
|1000|02-6250006|Not registered (on 'UC-MAD')|Centrex|Abonado Comun
|1000|02-6250007|Not registered (on 'UC-MAD')|Centrex|Abonado Comun
|1000|02-6250508|Not registered|Public|Abonado Comun
|1000|02-6253000|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6253001|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6253002|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6253003|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253004|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253006|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253007|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253008|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253009|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253010|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253011|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253012|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253013|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253014|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253015|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253016|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253017|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253018|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253019|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253020|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253021|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253022|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253023|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253024|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253025|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253026|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253027|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253028|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253029|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253030|Not registered (on 'UC-MAD')|Public|advancedSSS_3
